STARTING PORTFOLIO BACKTEST - Initial Capital: Rs. 500000.0
--------------------------------------------------
[2019-02-15] BUY  BAJAJHLDNG | Qty:   15 | Cost: Rs. 47395.50
[2019-02-15] SELL CARBORUNIV | Reason: TRAILING STOP        | PnL: Rs.   781.10
[2019-02-15] BUY  CESC       | Qty:  736 | Cost: Rs. 49937.60
[2019-02-18] BUY  3MINDIA    | Qty:    2 | Cost: Rs. 44490.60
[2019-02-18] SELL ABFRL      | Reason: HARD STOP (1%)       | PnL: Rs.  -928.00
[2019-02-18] SELL ADANIPORTS | Reason: TRAILING STOP        | PnL: Rs.   824.90
[2019-02-18] SELL APLAPOLLO  | Reason: HARD STOP (1%)       | PnL: Rs. -1046.40
[2019-02-18] SELL BAJAJHLDNG | Reason: HARD STOP (1%)       | PnL: Rs. -2292.75
[2019-02-18] BUY  CENTRALBK  | Qty: 1751 | Cost: Rs. 49991.05
[2019-02-18] SELL CESC       | Reason: HARD STOP (1%)       | PnL: Rs. -1214.40
[2019-02-19] SELL 3MINDIA    | Reason: HARD STOP (1%)       | PnL: Rs.  -635.50
[2019-02-19] SELL ABCAPITAL  | Reason: TRAILING STOP        | PnL: Rs.   124.20
[2019-02-19] BUY  ASTERDM    | Qty:  316 | Cost: Rs. 49991.20
[2019-02-19] BUY  BBTC       | Qty:   41 | Cost: Rs. 49181.55
[2019-02-19] BUY  BRIGADE    | Qty:  379 | Cost: Rs. 49971.15
[2019-02-20] BUY  AAVAS      | Qty:   53 | Cost: Rs. 49761.70
[2019-02-20] BUY  APOLLOTYRE | Qty:  239 | Cost: Rs. 49974.90
[2019-02-20] SELL ASTERDM    | Reason: HARD STOP (1%)       | PnL: Rs. -1627.40
[2019-02-20] BUY  ATUL       | Qty:   14 | Cost: Rs. 47587.40
[2019-02-20] SELL BALRAMCHIN | Reason: TRAILING STOP        | PnL: Rs.  5017.20
[2019-02-20] BUY  BIRLACORPN | Qty:  108 | Cost: Rs. 49615.20
[2019-02-20] BUY  BORORENEW  | Qty:  693 | Cost: Rs. 49930.65
[2019-02-21] BUY  ALKEM      | Qty:   27 | Cost: Rs. 48689.10
[2019-02-21] SELL APOLLOTYRE | Reason: TRAILING STOP        | PnL: Rs.   -35.85
[2019-02-21] BUY  ASTRAZEN   | Qty:   26 | Cost: Rs. 48298.90
[2019-02-21] SELL ATUL       | Reason: TRAILING STOP        | PnL: Rs.  -368.20
[2019-02-21] BUY  BANDHANBNK | Qty:  102 | Cost: Rs. 49847.40
[2019-02-21] SELL BBTC       | Reason: TRAILING STOP        | PnL: Rs.   588.35
[2019-02-21] SELL BIRLACORPN | Reason: HARD STOP (1%)       | PnL: Rs.  -826.20
[2019-02-21] BUY  BLUESTARCO | Qty:  166 | Cost: Rs. 49891.30
[2019-02-21] SELL BORORENEW  | Reason: HARD STOP (1%)       | PnL: Rs.  -554.40
[2019-02-21] SELL BRIGADE    | Reason: TRAILING STOP        | PnL: Rs.  -341.10
[2019-02-21] BUY  BRITANNIA  | Qty:   16 | Cost: Rs. 48025.60
[2019-02-21] BUY  CANFINHOME | Qty:  184 | Cost: Rs. 49864.00
[2019-02-21] BUY  CCL        | Qty:  180 | Cost: Rs. 49887.00
[2019-02-22] SELL BANDHANBNK | Reason: HARD STOP (1%)       | PnL: Rs.  -535.50
[2019-02-22] BUY  BATAINDIA  | Qty:   38 | Cost: Rs. 49894.00
[2019-02-22] SELL CANFINHOME | Reason: TRAILING STOP        | PnL: Rs.  -211.60
[2019-02-22] BUY  CAPLIPOINT | Qty:  140 | Cost: Rs. 49749.00
[2019-02-22] SELL CCL        | Reason: TRAILING STOP        | PnL: Rs.   -18.00
[2019-02-22] BUY  CDSL       | Qty:  237 | Cost: Rs. 49793.70
[2019-02-25] SELL AAVAS      | Reason: TRAILING STOP        | PnL: Rs.  2597.00
[2019-02-25] BUY  ACE        | Qty:  645 | Cost: Rs. 49987.50
[2019-02-25] SELL ALKEM      | Reason: HARD STOP (1%)       | PnL: Rs.  -645.30
[2019-02-25] BUY  APARINDS   | Qty:   79 | Cost: Rs. 49382.90
[2019-02-25] SELL ASTRAZEN   | Reason: TRAILING STOP        | PnL: Rs.   318.50
[2019-02-25] BUY  AUROPHARMA | Qty:   70 | Cost: Rs. 49619.50
[2019-02-25] SELL BATAINDIA  | Reason: TRAILING STOP        | PnL: Rs.   -57.00
[2019-02-25] BUY  BEL        | Qty: 1855 | Cost: Rs. 49992.25
[2019-02-25] SELL CENTRALBK  | Reason: TRAILING STOP        | PnL: Rs.  5428.10
[2019-02-25] BUY  CENTURYPLY | Qty:  301 | Cost: Rs. 49905.80
[2019-02-26] SELL BEL        | Reason: HARD STOP (1%)       | PnL: Rs.  -742.00
[2019-02-26] BUY  BHARATFORG | Qty:   98 | Cost: Rs. 49612.50
[2019-02-26] SELL CAPLIPOINT | Reason: TRAILING STOP        | PnL: Rs.  3171.00
[2019-02-26] BUY  CASTROLIND | Qty:  330 | Cost: Rs. 49879.50
[2019-02-26] SELL CDSL       | Reason: TRAILING STOP        | PnL: Rs.  1824.90
[2019-02-26] SELL CENTURYPLY | Reason: HARD STOP (1%)       | PnL: Rs. -1264.20
[2019-02-27] BUY  3MINDIA    | Qty:    2 | Cost: Rs. 45643.40
